t,S,I,R
10.720968023789295,646,92,262
10.783673229615715,645,93,262
10.783818284025449,644,94,262
10.7972125421958,644,93,263
10.810877906992886,644,92,264
10.859164435676584,643,93,264
10.869337624432895,642,94,264
10.902509948777203,641,95,264
10.92981915144204,640,96,264
10.93474714255216,639,97,264
10.945540272412568,638,98,264
10.961020042015148,638,97,265
10.961318835528804,637,98,265
10.968198604579767,637,97,266
10.970126378253308,637,96,267
11.02138669751188,636,97,267
11.04760377591879,636,96,268
11.059259561165801,636,95,269
11.063621547649575,635,96,269
11.076315507077455,635,95,270
11.082401839533782,635,94,271
11.10193251762896,635,93,272
11.127128627132999,635,92,273
11.13463415559625,634,93,273
11.158118536243594,633,94,273
11.180551210634228,633,93,274
11.202069704893105,633,92,275
11.222951274440076,633,91,276
11.24627774775858,633,90,277
11.246760391945108,633,89,278
11.284989545638757,632,90,278
11.321949422242984,632,89,279
11.347813275629237,631,90,279
11.349791450399653,631,89,280
11.361414335508261,630,90,280
11.370058647297439,629,91,280
11.370727863207051,629,90,281
11.39020724134199,629,89,282
11.393779908636402,629,88,283
11.40934717715922,628,89,283
11.424667053318714,627,90,283
11.47418088820161,626,91,283
11.483515561701385,626,90,284
11.49708725128184,625,91,284
11.553402808806725,624,92,284
11.566683065086078,623,93,284
11.585876001307675,623,92,285
11.642236214873982,623,91,286
11.677891368867794,622,92,286
11.712657880897899,622,91,287
11.721694643638012,622,90,288
11.73042098215522,622,89,289
11.754117097395843,621,90,289
11.78024036517926,620,91,289
11.798432414616133,620,90,290
11.80135514635965,619,91,290
11.80972729740795,619,90,291
11.832477462703498,619,89,292
11.857306866945605,619,88,293
11.8672226837224,618,89,293
11.867677447427525,618,88,294
11.882509708496595,618,87,295
11.892211177169465,617,88,295
11.89464898122898,617,87,296
11.90588805368984,616,88,296
11.918867856122606,615,89,296
11.925084951761086,614,90,296
11.927270052503689,613,91,296
11.93627790597912,613,90,297
11.95528791116529,613,89,298
11.988994266425378,612,90,298
12.006620604394143,611,91,298
12.015454167960367,611,90,299
12.024249509286008,610,91,299
12.028638283346046,610,90,300
12.045203439482234,610,89,301
12.084793789359054,610,88,302
12.095232175590626,609,89,302
12.101266515355958,608,90,302
12.117857024457502,607,91,302
12.128779252832224,606,92,302
12.131022154094987,605,93,302
12.166464877376995,604,94,302
12.171607495236946,604,93,303
12.232137388671763,604,92,304
12.23916677604573,603,93,304
12.2597677682314,602,94,304
12.26400448077529,602,93,305
12.34134048436993,601,94,305
12.383260270383648,601,93,306
12.405534317995258,601,92,307
12.439939503841858,600,93,307
12.459787969289316,599,94,307
12.49601229055125,599,93,308
12.501240097523455,598,94,308
12.513923857886658,598,93,309
12.530934342416645,597,94,309
12.550236746980358,596,95,309
12.554127952118927,596,94,310
12.556256340297159,596,93,311
12.598790033309754,596,92,312
12.606061796153165,595,93,312
12.611707150935159,594,94,312
12.671491620887863,593,95,312
12.677329402949535,592,96,312
12.686719443712771,592,95,313
12.748443718380956,591,96,313
12.762306731804145,590,97,313
12.777470537098667,590,96,314
12.780595120933063,589,97,314
12.80076505608221,588,98,314
12.815387009963368,588,97,315
12.84174436301203,588,96,316
12.872649799839763,587,97,316
12.892978597227357,586,98,316
12.95160303533512,586,97,317
12.95743796692626,585,98,317
12.959506883264428,584,99,317
