t,S,I,R
22.5,346.11985540394954,128.41834860378415,525.4617959922664
23.0,335.39824973362016,123.40655840867713,541.1951918577028
23.5,325.4221605008795,118.28490337845896,556.2929361206616
24.0,316.14824235050946,113.10298449570736,570.7487731537832
24.5,307.53465076959276,107.90549655739181,584.5598526730156
25.0,299.54104208751323,102.73222817487374,597.726729737613
25.5,292.1285734759558,97.61806177390642,610.2533647501378
26.0,285.2599029489061,92.59297359463469,622.1471234564594
26.5,278.8991893626512,87.68203369159599,633.4187769457528
27.0,273.0120924157781,82.90540593371824,644.0825016505038
27.5,267.56577264917695,78.27834800432333,654.1558793464998
28.0,262.52772513074456,73.81280760619597,663.6594672630595
28.5,257.86665206291275,69.51815982901385,672.6151881080734
29.0,253.55505981429738,65.39948888189663,681.045451303806
29.5,249.56708908088436,61.46026922119782,688.9726416979179
30.0,245.87848394148068,57.70240301674859,696.4191130417707
30.5,242.46659185771438,54.126220151857545,703.4071879904282
31.0,239.3103636740345,50.730478223310946,709.9591581026546
31.5,236.39035361771118,47.51236254137252,716.0972838409164
32.0,233.68871929883593,44.46748612978399,721.84379457138
32.5,231.1884736724609,41.5898592590895,727.2216670684496
33.0,228.87263816333765,38.87312573685245,732.25423609981
33.5,226.72853238721797,36.311880604236165,736.9595870085459
34.0,224.7443462772198,33.90063848141267,741.3550152413676
34.5,222.90880545828978,31.633766319395576,745.4574282223147
35.0,221.21117124720348,29.50548340004004,749.2833453527566
35.5,219.64124065256516,27.509861336042775,752.8488980113921
36.0,218.189346374808,25.64082407094214,756.1698295542499
36.5,216.84635680619385,23.892147879117942,759.2614953146882
37.0,215.60367603081343,22.25746136579163,762.138862603395
37.5,214.45324382458628,20.730245467026236,764.8165107083875
38.0,213.38753565526065,19.303833449726206,767.3086308950132
38.5,212.39956268241372,17.97141091163792,769.6290264059484
39.0,211.4828717574514,16.726015781348895,771.7911124611998
39.5,210.63173509577362,15.560962619992177,773.8073022842342
40.0,209.84248184593483,14.473243660332404,775.6842744937328
40.5,209.1110409723749,13.45885046631307,777.4301085613121
41.0,208.43329096481006,12.513363566782095,779.0533454684079
41.5,207.80533500365394,11.632529604585983,780.5621353917601
42.0,207.22350096001753,10.812261336569843,781.9642377034127
42.5,206.6843413957092,10.048637633577359,783.2670209707135
43.0,206.1846335632348,9.337903480450823,784.4774629563144
43.5,205.7213794057974,8.676469976031063,785.6021506181715
44.0,205.29180555729758,8.060914333157559,786.6472801095449
44.5,204.8933406533131,7.487967036021965,787.618692310665
45.0,204.52361317799392,6.954654901025662,788.5217319209805
45.5,204.18068752133047,6.458524973361576,789.360787505308
46.0,203.86275202716436,5.9972531142761465,790.1399948585596
46.5,203.56807637052273,5.568602003458089,790.8633216260192
47.0,203.29501155761818,5.170421139038405,791.5345673033435
47.5,203.04198992584878,4.800646837590371,792.157363236561
48.0,202.80752514379807,4.4573022341295445,792.7351726220725
48.5,202.59021221123515,4.138497282113766,793.2712905066512
49.0,202.38872745911448,3.842428753443162,793.7688437874424
49.5,202.20182854957605,3.56738023846012,794.230791211964
50.0,202.02835447594535,3.311722145949317,794.6599233781054
50.5,201.86724979195745,3.073954387525119,795.0587958205175
51.0,201.7177214441625,2.852985852678496,795.429292703159
51.5,201.5790089599506,2.6477526407580503,795.7732383992914
52.0,201.4503713870258,2.4572091774546694,796.0924194355196
52.5,201.33110330353475,2.2803569134658623,796.3885397829995
53.0,201.2205348180669,2.1162443244957574,796.6632208574374
53.5,201.11803156965436,1.9639669112551037,796.9180015190906
54.0,201.0229947277719,1.8226671994612706,797.1543380727669
54.5,200.934860992337,1.6915347398382523,797.3736042678248
55.0,200.85310259370982,1.569806108116646,797.5770912981736
55.5,200.77722729269325,1.456764905033705,797.7660078022731
56.0,200.70678173771162,1.351748117888145,797.9414701444002
56.5,200.6413866298621,1.254205207442585,798.1044081626953
57.0,200.580709349775,1.163651207296585,798.2556394429284
57.5,200.5244320083704,1.0796215312781907,798.3959464603514
58.0,200.47225098613492,1.0016718337407857,798.5260771801243
58.5,200.42387693312133,0.9293780095630917,798.6467450573156
59.0,200.37903476894877,0.8623361941491664,798.7586290369021
59.5,200.33746368280273,0.8001627634284062,798.8623735537689
60.0,200.29891713343508,0.7424943338555458,798.9585885327094
60.5,200.26316284916393,0.6889877624106544,799.0478493884254
61.0,200.22998282787378,0.6393201465991429,799.1306970255271
61.5,200.19917333701542,0.5931888244517586,799.2076378385328
62.0,200.17056019798022,0.5503352595562695,799.2791045424635
62.5,200.1440037002858,0.5105527592724003,799.3454435404419
63.0,200.1193666185749,0.4736375764384247,799.4069958049868
63.5,200.09651784133385,0.43939493511671956,799.4640872235494
64.0,200.07533237156082,0.40763903164581505,799.5170285967935
64.5,200.0556913267658,0.3781930346403932,799.5661156385938
65.0,200.03748193897067,0.3508890849912891,799.6116289760381
65.5,200.02059755470913,0.32556829586549135,799.6538341494255
66.0,200.00493763502675,0.3020807527061385,799.6929816122672
66.5,199.99040775548096,0.2802855132325256,799.7293067312866
67.0,199.97691960614108,0.260050607440095,799.7630297864189
67.5,199.96439286393334,0.24125591637805602,799.7943512196887
68.0,199.95276350270427,0.22380586949011305,799.8234306278057
68.5,199.94197264885065,0.2076124798872585,799.8504148712622
69.0,199.93196378152453,0.1925912444428256,799.8754449740327
69.5,199.9226829178173,0.17866143434821402,799.8986556478345
70.0,199.91407861275962,0.1657460951128895,799.9201752921275
70.5,199.9061019593216,0.15377204656438426,799.940125994114
71.0,199.89870658841258,0.14266988284829663,799.9586235287392
71.5,199.89184866888132,0.1323739724282908,799.9757773586905
72.0,199.88548690751583,0.12282245808609876,799.9916906343982
72.5,199.87958254904348,0.11395725692151693,800.0064601940351
73.0,199.87409940343247,0.10572410174726239,800.0201764948202
73.5,199.86900720486364,0.09807762576972229,800.0329151693667
74.0,199.8642809604088,0.09098037709731646,800.044738662494
74.5,199.85989630298272,0.08439582282073262,800.0557078741966
75.0,199.85582993749898,0.07828903377265925,800.0658810287284
75.5,199.85205964087015,0.07262668452778567,800.0753136746021
76.0,199.84856426200778,0.06737705340280215,800.0840586845894
76.5,199.84532372182224,0.06251002245639971,800.0921662557214
77.0,199.84231901322292,0.05799707748927016,800.0996839092878
77.5,199.8395322011181,0.05381130804410632,800.1066564908378
78.0,199.83694642241502,0.049927407405602184,800.1131261701794
78.5,199.83454588601984,0.0463216726004515,800.1191324413797
79.0,199.8323162240303,0.04297253397016277,800.1247112419995
79.5,199.8302461653229,0.03986307705620514,800.129890757621
80.0,199.8283252869338,0.03697765673318014,800.134697056333
80.5,199.82654355640736,0.03430121287077148,800.1391552307219
81.0,199.82489138871776,0.03181935635991727,800.1432892549224
81.5,199.82335964626898,0.029518369112809938,800.1471219846183
82.0,199.82193963889486,0.027385204062896386,800.1506751570423
82.5,199.82062312385906,0.025407485164877765,800.1539693909762
83.0,199.81940230585508,0.0235735073947097,800.1570241867503
83.5,199.81826983700623,0.02187223674960209,800.1598579262442
84.0,199.81721881686568,0.020293310248019256,800.1624878728863
84.5,199.81624279310438,0.018827036965037906,800.1649301699307
85.0,199.81533628514381,0.01746518583484449,800.1671985290214
85.5,199.8144948658012,0.01620110840473269,800.1693040257942
86.0,199.81371422134714,0.0150283259310099,800.1712574527219
86.5,199.81299022522504,0.013940640673952774,800.1730691341011
87.0,199.81231893805088,0.012932135897807255,800.1747489260514
87.5,199.8116966076135,0.011997175870788532,800.1763062165159
88.0,199.81111966887428,0.01113040586508109,800.1777499252607
88.5,199.81058474396738,0.010326752156838643,800.1790885038758
89.0,199.81008864219964,0.009581422026184236,800.1803299357742
89.5,199.80962836005065,0.008889903757210122,800.1814817361923
90.0,199.80920108117257,0.00824796663797786,800.1825509521896
90.5,199.80880420700353,0.0076517069847208295,800.1835440860118
91.0,199.80843568337653,0.0070980391166402396,800.1844662775069
91.5,199.8080936816359,0.0065842160445358806,800.1853221023196
92.0,199.8077764303239,0.006107576644415734,800.1861159930318
92.5,199.80748223560684,0.00566557638164174,800.1868521880116
93.0,199.8072094812752,0.005255787310929782,800.1875347314138
93.5,199.80695662874368,0.004875898076349694,800.18816747318
94.0,199.80672221705103,0.004523713911325272,800.1887540690377
94.5,199.8065048628602,0.0041971566386342415,800.1892979805012
95.0,199.80630326045832,0.0038942646704083093,800.1898024748714
95.5,199.8061161817566,0.0036131930081330895,800.1902706252353
96.0,199.80594247629048,0.003352213242648199,800.1907053104669
96.5,199.80578115492636,0.0031098393350739223,800.1911090057386
97.0,199.80563147570402,0.0028849566280766234,800.1914835676679
97.5,199.80549262465948,0.002676342258453203,800.191831033082
98.0,199.80536382786727,0.0024828335098268073,800.1921533386229
98.5,199.80524435786873,0.002303337471578591,800.1924523046597
99.0,199.80513353367178,0.0021368310388477072,800.1927296352894
99.5,199.80503072075118,0.0019823609125313064,800.1929869183364
100.0,199.80493533104828,0.001839043599284535,800.1932256253524
