t,S,I,R
6.9747754662837105,847,120,33
6.977744715252637,847,119,34
6.981288462160146,847,118,35
6.98226730928461,847,117,36
7.000387124599614,846,118,36
7.011353852631957,845,119,36
7.0271414340478895,844,120,36
7.044462640958247,843,121,36
7.075603746782912,842,122,36
7.099285347612763,841,123,36
7.124914548613588,840,124,36
7.14270338735758,840,123,37
7.181960175583049,839,124,37
7.20610785403446,838,125,37
7.223921595485379,837,126,37
7.236796969637266,836,127,37
7.2401839374683385,835,128,37
7.267438868784131,835,127,38
7.274418681307613,834,128,38
7.310777833831487,833,129,38
7.312824640004615,832,130,38
7.330356233328121,832,129,39
7.33238091201015,831,130,39
7.336887611962886,831,129,40
7.345032164096111,830,130,40
7.351921770141462,829,131,40
7.363954272851757,828,132,40
7.371169710264847,827,133,40
7.377016600740756,826,134,40
7.390740198693409,825,135,40
7.398430125551883,825,134,41
7.404766625221158,824,135,41
7.408137317131189,824,134,42
7.432870091464454,824,133,43
7.441458385819282,823,134,43
7.45329496474873,822,135,43
7.466188817986845,821,136,43
7.4717546308146305,820,137,43
7.47808650697297,819,138,43
7.47973381042805,818,139,43
7.48982554323631,817,140,43
7.492403203684761,816,141,43
7.5223870339092995,816,140,44
7.556644213540235,816,139,45
7.563493028552211,815,140,45
7.587927437634046,815,139,46
7.597902597005718,814,140,46
7.598357308702694,813,141,46
7.621590368159312,812,142,46
7.631512187196379,811,143,46
7.637608461140422,811,142,47
7.642541894122677,810,143,47
7.675154364730198,809,144,47
7.679948324673922,809,143,48
7.684107606175448,808,144,48
7.693422323236368,807,145,48
7.69730886006535,807,144,49
7.698230190492066,806,145,49
7.722634989515318,805,146,49
7.731732282765053,805,145,50
7.742619931089672,804,146,50
7.754858766159702,803,147,50
7.7658157308047855,803,146,51
7.77183563223044,803,145,52
7.772317914133442,802,146,52
7.781481534708042,801,147,52
7.798395929830079,800,148,52
7.7997670499069836,800,147,53
7.803986085030386,799,148,53
7.811163218908203,799,147,54
7.837344177706595,798,148,54
7.840020302657499,797,149,54
7.851183575138107,796,150,54
7.855309053213066,796,149,55
7.855441637635999,795,150,55
7.883867974815157,795,149,56
7.933164540489729,794,150,56
7.933373879818189,794,149,57
7.935350305859055,793,150,57
7.935700234332136,793,149,58
7.939699042354317,793,148,59
7.943123496502304,793,147,60
7.94444118600233,792,148,60
7.95359041312962,791,149,60
7.9582397139825165,790,150,60
7.961928586135193,789,151,60
7.975016724474896,788,152,60
7.98415684028281,788,151,61
7.9995522401972,788,150,62
8.019221952205339,787,151,62
8.020595615480019,787,150,63
8.03870907847228,786,151,63
8.049382181054156,785,152,63
8.079289359916775,784,153,63
8.081824893969527,783,154,63
8.091447482785519,783,153,64
8.092590667376005,782,154,64
8.120199902920698,781,155,64
8.12071733550943,780,156,64
8.132548950353682,779,157,64
8.153562079255,778,158,64
8.154036946177424,777,159,64
8.157065688341929,777,158,65
8.163737708374802,776,159,65
8.182088310786412,775,160,65
8.246459336093006,774,161,65
8.272971709635836,773,162,65
8.291399718388506,772,163,65
8.297961905023229,771,164,65
8.30138549442469,770,165,65
8.348951714376243,769,166,65
8.359408531584315,768,167,65
8.371645887608356,767,168,65
8.4101900158089,766,169,65
8.42124847027375,766,168,66
8.426701623139262,766,167,67
8.460486856910507,765,168,67
8.467344993334525,765,167,68
8.500520960981074,765,166,69
8.522626096369153,764,167,69
8.54307125601905,763,168,69
8.548209580859494,763,167,70
8.54867625306189,762,168,70
8.558042611742145,761,169,70
8.570760987425766,760,170,70
8.576841230491835,759,171,70
8.585298941813068,759,170,71
8.590661782566832,758,171,71
8.597474526191204,757,172,71
8.59875132924369,756,173,71
8.610920082670093,755,174,71
8.611610327750302,754,175,71
8.612005632213428,753,176,71
8.61576793677219,753,175,72
8.62374775959791,752,176,72
8.627651291224204,752,175,73
8.630387716481517,751,176,73
8.639191306393926,750,177,73
8.643910821655657,749,178,73
8.651256613249373,749,177,74
8.677918352707625,748,178,74
