t,event,person_id,S,I,R
17.165234278729613,infection,448,566,163,271
17.17473560737719,infection,911,565,164,271
17.203924595270294,recovery,688,565,163,272
17.209317031201927,infection,763,564,164,272
17.214720495183396,recovery,952,564,163,273
17.21852824804084,recovery,680,564,162,274
17.228355472716164,recovery,693,564,161,275
17.233033013259163,recovery,95,564,160,276
17.25385651840425,infection,361,563,161,276
17.272286920117175,infection,524,562,162,276
17.292953313867233,infection,71,561,163,276
17.302481971686156,infection,112,560,164,276
17.305065384451034,recovery,264,560,163,277
17.305086460516275,recovery,950,560,162,278
17.311473586123473,recovery,702,560,161,279
17.3169189870536,infection,352,559,162,279
17.336196895290705,infection,405,558,163,279
