t,S,I,R
13.269042054793056,733,118,149
13.276414538070197,732,119,149
13.29359648328518,731,120,149
13.310618131695229,730,121,149
13.322221880008044,730,120,150
13.34463305924146,730,119,151
13.351201546055076,730,118,152
13.370666396001067,730,117,153
13.379073497273108,730,116,154
13.41751737556434,729,117,154
13.44408689915799,729,116,155
13.450913414484045,728,117,155
13.452609864254656,727,118,155
13.463693636412817,726,119,155
13.481725194448998,725,120,155
13.492571256655117,724,121,155
13.50561763988492,723,122,155
13.51170419147588,722,123,155
13.520622383680934,722,122,156
13.527208592208572,721,123,156
13.53073237833547,720,124,156
13.582778549737357,719,125,156
13.586454460879697,719,124,157
13.60267604805313,718,125,157
13.614142644793285,718,124,158
13.621069753866719,718,123,159
13.639293898281284,718,122,160
13.675515191419322,717,123,160
13.68216732930992,716,124,160
13.685287887716942,716,123,161
13.688182284638339,716,122,162
13.70380294558681,716,121,163
13.749123215294427,715,122,163
13.778445887722162,715,121,164
13.792549559843236,714,122,164
13.81136944572223,714,121,165
13.821205202849242,714,120,166
13.846660822664592,713,121,166
13.867581025108688,712,122,166
13.872209245824964,712,121,167
13.877758075212164,712,120,168
13.884043145246336,712,119,169
13.894446721547718,711,120,169
13.895736220651091,711,119,170
13.918220791298342,710,120,170
13.92038982096205,709,121,170
13.947937902142835,708,122,170
13.962954292095425,707,123,170
13.966920455258377,706,124,170
13.96846595398824,705,125,170
13.995480891288473,705,124,171
14.001949931204619,704,125,171
14.03139197129277,703,126,171
14.053075370919457,703,125,172
14.075159842057847,702,126,172
14.07683634792406,702,125,173
14.078805188930346,701,126,173
14.08433629923976,701,125,174
14.085991258956664,701,124,175
14.087394924023725,700,125,175
14.157838712231863,700,124,176
14.158530609610438,700,123,177
14.173753294412492,699,124,177
14.179083525597319,698,125,177
14.185348041823834,697,126,177
14.196499584565156,696,127,177
14.220948687682311,696,126,178
14.23788734940029,696,125,179
14.239447200010389,695,126,179
14.269303723936961,694,127,179
14.277005023794532,694,126,180
14.288469124346166,694,125,181
14.302500876421743,693,126,181
14.309441946698948,693,125,182
14.310466868559024,693,124,183
14.331260162375882,692,125,183
14.336054105531508,691,126,183
14.358044993705807,690,127,183
14.37869914725753,689,128,183
14.425217307006085,688,129,183
14.45006466540247,688,128,184
14.473571640958584,687,129,184
14.482904625847127,686,130,184
14.490346494675453,685,131,184
14.4928211818098,684,132,184
14.499205374321782,683,133,184
14.521104823587505,683,132,185
14.534021555307207,682,133,185
14.544925070186343,681,134,185
14.576492789063462,681,133,186
14.609748972553808,680,134,186
14.614772706652584,680,133,187
14.633648041239095,679,134,187
14.650023029349386,678,135,187
14.669393637098786,678,134,188
14.680474190933287,677,135,188
14.685950261726852,676,136,188
14.717402444864701,675,137,188
14.722416140217916,674,138,188
14.724891638941422,673,139,188
14.749789399191476,673,138,189
14.750071795362906,672,139,189
14.760719978353045,671,140,189
14.764415036499367,670,141,189
14.78971799824648,670,140,190
14.804949482411496,670,139,191
14.837213190921792,669,140,191
14.851594217492119,668,141,191
14.857807188842694,667,142,191
14.859288458605516,667,141,192
14.881353809910284,666,142,192
14.893558700768692,665,143,192
14.895756429471733,665,142,193
14.904629587789927,665,141,194
14.91018329682105,664,142,194
14.926729143926227,664,141,195
14.927747609000498,664,140,196
14.932333808765009,664,139,197
14.935902446217284,664,138,198
14.944686353886762,664,137,199
14.958630279092576,664,136,200
14.96840420347954,663,137,200
14.980524192290863,663,136,201
14.982634836576038,663,135,202
14.984338107175475,663,134,203
15.011329489099545,663,133,204
15.01803598349582,662,134,204
15.078575129582491,662,133,205
15.080982836145921,661,134,205
15.085342428196597,660,135,205
15.089293035083607,660,134,206
15.09294665400786,660,133,207
15.095685798839892,659,134,207
15.10023572857893,658,135,207
15.10089615215529,657,136,207
15.117935717989345,656,137,207
15.144906760652011,655,138,207
15.17165049375062,654,139,207
15.181243152271856,653,140,207
15.198559500839197,653,139,208
15.227882633375906,653,138,209
15.231547705240706,652,139,209
15.25399546610295,652,138,210
15.256403505167462,651,139,210
15.257290308803377,651,138,211
15.257914696295998,651,137,212
15.26866464423688,650,138,212
15.273332699824898,649,139,212
15.286325299992013,649,138,213
15.29265101774572,649,137,214
15.327107364487503,648,138,214
15.343682881741715,648,137,215
15.346043648784367,648,136,216
15.379081364581113,647,137,216
15.381283402878935,646,138,216
15.389934764497244,646,137,217
15.395061220067777,645,138,217
15.421113376501701,645,137,218
15.423116605640283,645,136,219
15.437419009737258,644,137,219
15.453845776912269,643,138,219
15.500476239076157,642,139,219
15.507329693995722,641,140,219
15.519385587211476,640,141,219
15.52310732807964,639,142,219
15.52396337196429,638,143,219
15.596480498045898,638,142,220
15.605808485891494,637,143,220
15.613038241419503,637,142,221
15.626433107557824,636,143,221
15.626883476271415,635,144,221
15.657889569740922,634,145,221
15.658904539375524,634,144,222
15.675496465721062,633,145,222
15.680281600219221,633,144,223
15.680781389663366,632,145,223
15.689884366292022,632,144,224
15.698609176079904,631,145,224
15.707820840564661,630,146,224
15.712864031098205,629,147,224
15.718012091797453,628,148,224
15.720414474994115,628,147,225
15.72511051110308,628,146,226
15.729815775439487,628,145,227
15.742942322030027,628,144,228
15.75018464545606,627,145,228
15.754406067110125,627,144,229
15.776352882193992,626,145,229
15.795524576660576,626,144,230
15.800340578414435,625,145,230
15.808449483509083,624,146,230
15.810059690064707,623,147,230
15.814828998219143,622,148,230
15.824627623476502,622,147,231
15.84114509861019,621,148,231
15.84550010752793,620,149,231
15.864101381575264,619,150,231
15.864930631663826,619,149,232
15.872051146062246,618,150,232
15.873115283752057,618,149,233
15.890280460473594,618,148,234
15.89257529877982,617,149,234
15.904021974778782,616,150,234
15.916034169808036,616,149,235
