num_repairers,replication,seed,time_to_failure,failed,avg_repair_queue,repairer_utilization
1,45,644,18.84839489191799,true,0.0650508078498794,0.4874302072508952
1,46,645,8.768701567604237,true,0.8105974426006494,0.6150769561412321
1,47,646,48.01247170096558,true,0.6031929427061641,0.5957614350221321
1,48,647,9.240150591937802,true,0.08858373117905079,0.26268645494742904
1,49,648,2.1255127805642764,true,0.5095988875662707,0.5481443153540524
1,50,649,48.25667645487802,true,0.414110916874765,0.6161224673255893
1,51,650,2.3760546058344456,true,0.9004015255808885,0.8604760449949905
1,52,651,9.54685379671949,true,0.2781580777558758,0.5935117909344497
1,53,652,6.731458446391576,true,0.2171373494488443,0.5101726883292543
1,54,653,10.929066331035813,true,0.4067193281933485,0.4359121159614102
1,55,654,9.287064642713165,true,1.1209144803057605,0.8633984014332433
1,56,655,9.518881944917263,true,0.25196914505414203,0.5334130414539123
1,57,656,5.137065421832202,true,0.09290810204224642,0.7701527038115784
1,58,657,30.179412934129616,true,0.20184079609355138,0.5463519919531534
1,59,658,13.813060341250493,true,0.689335459996653,0.8691142185990117
1,60,659,31.834808155572336,true,0.15073554127178454,0.22084418518264118
1,61,660,11.560614475305023,true,0.620868631603797,0.4622004689387554
1,62,661,1.3487297290675917,true,0.698174165820784,0.7175439774003389
1,63,662,24.128527294850674,true,0.36704464457162633,0.48136912312172636
1,64,663,12.184983829658178,true,0.3055224739460391,0.5482683133747535
1,65,664,11.36252346272463,true,0.5519356955073335,0.7886872156691204
1,66,665,21.658540530726196,true,0.10561922892615454,0.5674742191606655
1,67,666,13.028466790625995,true,1.198653030473519,0.9099607184350571
1,68,667,22.62113807660211,true,0.24890381218415586,0.3017786098986633
1,69,668,32.21260460658166,true,0.21139144686754194,0.544868231005163
1,70,669,19.852853383162515,true,0.25312960272289425,0.3989262480271938
1,71,670,21.527562638560028,true,0.30746067929720877,0.30350776945464003
1,72,671,8.748560131693205,true,0.7198281171154943,0.5604176853590492
1,73,672,15.733499423876658,true,0.6621848882341599,0.6271486466802532
1,74,673,81.67190527855729,true,0.29621213894282267,0.73187766100831
1,75,674,3.961654752310218,true,0.7707952514191994,0.933961536479172
1,76,675,12.004072830370026,true,0.21655821238731138,0.6479204787638049
1,77,676,10.466144262917604,true,0.7656842272014436,0.6071184957978363
1,78,677,3.4492003926574,true,0.5922762788276833,0.3142848205994084
1,79,678,6.8812943425903175,true,0.15239775251907517,0.4181857210529324
