customer_id,event,time,queue_length,busy_servers,waiting_time,service_time,system_time
39,service_start,49.36715413961523,0,1,0.0,0.8565959125142775,NaN
39,departure,50.22375005212951,0,0,0.0,0.8565959125142775,0.8565959125142797
40,arrival,50.35826885149527,0,0,NaN,NaN,NaN
40,service_start,50.35826885149527,0,1,0.0,1.4561466400961947,NaN
40,departure,51.81441549159146,0,0,0.0,1.4561466400961947,1.4561466400961933
41,arrival,52.96197822449703,0,0,NaN,NaN,NaN
41,service_start,52.96197822449703,0,1,0.0,0.27643446991532733,NaN
41,departure,53.23841269441236,0,0,0.0,0.27643446991532733,0.27643446991532983
42,arrival,54.56609776792658,0,0,NaN,NaN,NaN
42,service_start,54.56609776792658,0,1,0.0,3.835911042549321,NaN
43,arrival,54.970819902879676,0,1,NaN,NaN,NaN
43,service_start,54.970819902879676,0,2,0.0,3.360420856945802,NaN
44,arrival,56.365628688018994,1,2,NaN,NaN,NaN
45,arrival,58.043182063739444,2,2,NaN,NaN,NaN
43,departure,58.33124075982548,2,1,0.0,3.360420856945802,3.360420856945801
44,service_start,58.33124075982548,1,2,1.9656120718064827,0.3009663359311511,NaN
42,departure,58.4020088104759,1,1,0.0,3.835911042549321,3.83591104254932
45,service_start,58.4020088104759,0,2,0.35882674673645454,0.01646992226874251,NaN
45,departure,58.41847873274464,0,1,0.35882674673645454,0.01646992226874251,0.37529666900519487
44,departure,58.63220709575663,0,0,1.9656120718064827,0.3009663359311511,2.266578407737633
46,arrival,60.053590672544495,0,0,NaN,NaN,NaN
46,service_start,60.053590672544495,0,1,0.0,1.53138448068053,NaN
46,departure,61.584975153225024,0,0,0.0,1.53138448068053,1.5313844806805292
47,arrival,62.014091189412945,0,0,NaN,NaN,NaN
47,service_start,62.014091189412945,0,1,0.0,1.1842704260220274,NaN
48,arrival,62.89373798824384,0,1,NaN,NaN,NaN
48,service_start,62.89373798824384,0,2,0.0,1.3017474104539115,NaN
47,departure,63.19836161543497,0,1,0.0,1.1842704260220274,1.1842704260220245
48,departure,64.19548539869776,0,0,0.0,1.3017474104539115,1.3017474104539133
49,arrival,64.48911558625039,0,0,NaN,NaN,NaN
49,service_start,64.48911558625039,0,1,0.0,2.3473757296339857,NaN
49,departure,66.83649131588437,0,0,0.0,2.3473757296339857,2.3473757296339812
50,arrival,71.6394745738439,0,0,NaN,NaN,NaN
50,service_start,71.6394745738439,0,1,0.0,3.488892834055854,NaN
51,arrival,73.48105063571381,0,1,NaN,NaN,NaN
51,service_start,73.48105063571381,0,2,0.0,0.04273750081066307,NaN
51,departure,73.52378813652447,0,1,0.0,0.04273750081066307,0.04273750081065941
50,departure,75.12836740789976,0,0,0.0,3.488892834055854,3.4888928340558607
52,arrival,75.13416295030062,0,0,NaN,NaN,NaN
52,service_start,75.13416295030062,0,1,0.0,0.2799787120167427,NaN
52,departure,75.41414166231736,0,0,0.0,0.2799787120167427,0.2799787120167423
53,arrival,75.43915175120722,0,0,NaN,NaN,NaN
53,service_start,75.43915175120722,0,1,0.0,2.283220943497477,NaN
54,arrival,76.8456475311067,0,1,NaN,NaN,NaN
54,service_start,76.8456475311067,0,2,0.0,2.31651360254768,NaN
53,departure,77.7223726947047,0,1,0.0,2.283220943497477,2.283220943497483
54,departure,79.1621611336544,0,0,0.0,2.31651360254768,2.316513602547687
55,arrival,84.43925400786016,0,0,NaN,NaN,NaN
55,service_start,84.43925400786016,0,1,0.0,2.261090255329223,NaN
56,arrival,84.54046538023812,0,1,NaN,NaN,NaN
56,service_start,84.54046538023812,0,2,0.0,1.2887680464980986,NaN
57,arrival,85.43671085657867,1,2,NaN,NaN,NaN
56,departure,85.82923342673621,1,1,0.0,1.2887680464980986,1.2887680464980917
57,service_start,85.82923342673621,0,2,0.39252257015753855,4.075408657634547,NaN
55,departure,86.70034426318938,0,1,0.0,2.261090255329223,2.261090255329222
58,arrival,88.75431647681815,0,1,NaN,NaN,NaN
58,service_start,88.75431647681815,0,2,0.0,1.7566938582970506,NaN
59,arrival,89.13345635257599,1,2,NaN,NaN,NaN
60,arrival,89.34529285913138,2,2,NaN,NaN,NaN
57,departure,89.90464208437075,2,1,0.39252257015753855,4.075408657634547,4.467931227792079
59,service_start,89.90464208437075,1,2,0.771185731794759,1.3225751479420809,NaN
58,departure,90.5110103351152,1,1,0.0,1.7566938582970506,1.756693858297055
60,service_start,90.5110103351152,0,2,1.1657174759838256,0.596958082363451,NaN
