time,S,I,R
54.0,1.37642552261821e-10,4.537463221948458,995.4625367779146
54.5,1.1095179211908867e-10,4.316147902540449,995.6838520973492
55.0,9.113324117130744e-11,4.105626207392184,995.8943737925174
55.5,7.621742211592588e-11,3.905379199756684,996.0946208001678
56.0,6.461571376255014e-11,3.7149087891688817,996.2850912107672
56.5,5.512035103295352e-11,3.533737731445612,996.4662622684999
57.0,4.690442496106084e-11,3.361409628685632,996.6385903712682
57.5,3.952188269297715e-11,3.197488929269581,996.8025110706916
58.0,3.2907527486947184e-11,3.0415609278600404,996.9584390721077
58.5,2.7377018713366206e-11,2.8932317654015076,997.1067682345719
59.0,2.3507124367436273e-11,2.752127423326744,997.2478725766505
59.5,2.0560654156727265e-11,2.6178883909114896,997.3821116090686
60.0,1.812198172648253e-11,2.4901887502677313,997.5098112497149
60.5,1.609745084985341e-11,2.3687187272868493,997.6312812726977
61.0,1.4405239184134778e-11,2.25318008336559,997.7468199166207
61.5,1.2975358270765249e-11,2.1432861154060605,997.8567138845816
62.0,1.1749653535326834e-11,2.038761655815736,997.9612383441732
62.5,1.0681804287545549e-11,1.9393430725074485,998.0606569274826
63.0,9.737323721290417e-12,1.8447782688994057,998.1552217310915
63.5,8.893558914574639e-12,1.7548266839151652,998.2451733160766
64.0,8.139690829554698e-12,1.669259291983657,998.3307407080089
64.5,7.476734312530741e-12,1.5878586030391764,998.412141396954
65.0,6.9131510183074086e-12,1.5104181232730027,998.4895818767208
65.5,6.421660140474341e-12,1.4367420892425429,998.5632579107516
66.0,5.9871058583315796e-12,1.3666536523801727,998.6333463476145
66.5,5.602212746845533e-12,1.2999839475127404,998.7000160524823
67.0,5.260385777495155e-12,1.2365702014985973,998.7634297984968
67.5,4.955710318271949e-12,1.176255733227595,998.8237442667681
68.0,4.682952133679964e-12,1.1188899536210863,998.8811100463749
68.5,4.437557384735791e-12,1.0643283656319276,998.9356716343643
69.0,4.215652628968577e-12,1.0124325642444743,998.987567435752
69.5,4.014044820420011e-12,0.9630702364745879,999.036929763522
70.0,3.830221309644328e-12,0.9161151613696231,999.0838848386272
70.5,3.662349843708312e-12,0.8714472100084499,999.1285527899886
71.0,3.509278566191294e-12,0.8289523455014258,999.1710476544957
71.5,3.3701124132437996e-12,0.7885220292531047,999.2114779707442
72.0,3.242835858755933e-12,0.7500554066676038,999.2499445933298
72.5,3.1262592214576285e-12,0.7134614736857977,999.2865385263118
73.0,3.01936877591922e-12,0.6786526405686265,999.3213473594291
73.5,2.921225357051539e-12,0.6455443736648969,999.3544556263329
74.0,2.8309643601059147e-12,0.6140551954112823,999.3859448045865
74.5,2.7477957406741736e-12,0.5841066843323216,999.4158933156656
75.0,2.6710040146886396e-12,0.5556234750404202,999.4443765249575
75.5,2.5999482584221347e-12,0.5285332582358502,999.4714667417622
76.0,2.5340621084879804e-12,0.5027667807067511,999.4972332192914
76.5,2.4728537618399883e-12,0.4782578453291249,999.521742154669
77.0,2.4159059757724797e-12,0.4549433110668459,999.5450566889314
77.5,2.3628760679202636e-12,0.4327630929716499,999.5672369070267
78.0,2.3134959162586484e-12,0.41166016218314017,999.5883398378152
78.5,2.267495156795566e-12,0.3915805820757925,999.6084194179226
79.0,2.224568859999167e-12,0.37247603377729044,999.6275239662211
79.5,2.184493797809767e-12,0.35430167135411195,999.6456983286444
80.0,2.1470597666031787e-12,0.3370141348345371,999.6629858651639
80.5,2.1120691457720842e-12,0.32057154550548583,999.6794284544931
81.0,2.079336897726032e-12,0.30493350591251794,999.6950664940861
81.5,2.0486905678914414e-12,0.290061099859834,999.7099389001388
82.0,2.019970284711597e-12,0.2759168924102736,999.7240831075884
82.5,1.9930287596466543e-12,0.26246492988531767,999.7375350701134
83.0,1.9677312871736337e-12,0.2496707398650856,999.7503292601336
83.5,1.9439557447864277e-12,0.23750133118833844,999.7624986688104
84.0,1.9215925929957936e-12,0.22592519395247648,999.7740748060463
84.5,1.9005448753293583e-12,0.2149122995135396,999.7850877004852
85.0,1.8807282183316176e-12,0.20443410048620902,999.7955658995126
85.5,1.862067517175069e-12,0.19446354892636628,999.8055364510725
86.0,1.8444817570697734e-12,0.18497617626723478,999.8150238237316
86.5,1.8279051071836363e-12,0.175949967824028,999.8240500321748
87.0,1.8122768003524678e-12,0.1673636955887075,999.8326363044101
87.5,1.7975389652490667e-12,0.15919682591071752,999.8408031740881
88.0,1.7836366263832186e-12,0.15142951949698474,999.848570480502
88.5,1.7705177041016963e-12,0.1440426314119183,999.855957368587
89.0,1.7581330145882603e-12,0.1370177110774099,999.8629822889216
89.5,1.7464362698636586e-12,0.1303370022728337,999.8696629977261
90.0,1.7353840777856262e-12,0.1239834431350466,999.8760165568639
90.5,1.7249359420488857e-12,0.11794066615838729,999.8820593338405
