time,S,I,R
32.5,1.6255134127196756e-12,0.05856770194518693,999.9414322980543
33.0,1.6123198956656357e-12,0.05041619386146667,999.949583806138
33.5,1.6010427180067117e-12,0.04339748760625785,999.9566025123933
34.0,1.591388627615209e-12,0.03734953442829799,999.9626504655712
34.5,1.583126125691577e-12,0.03214370423435843,999.9678562957652
35.0,1.5760551480948319e-12,0.027666476980050994,999.9723335230195
35.5,1.5699989005105596e-12,0.0238158680208298,999.9761841319787
36.0,1.5648038584509141e-12,0.020501428111991356,999.9794985718876
36.5,1.5603405382227906e-12,0.01764508120118445,999.9823549187984
37.0,1.5565071834770085e-12,0.015185294562520171,999.9848147054371
37.5,1.5532176092739414e-12,0.013069479845118567,999.9869305201545
38.0,1.5503945719615423e-12,0.011250134994181444,999.9887498650054
38.5,1.5479697089083056e-12,0.009684839783960281,999.9903151602156
39.0,1.545883595443688e-12,0.008336301803184419,999.9916636981964
39.5,1.5440881594165808e-12,0.007174200955206803,999.9928257990443
40.0,1.5425448740888022e-12,0.006174199914512747,999.993825800085
40.5,1.541219146565397e-12,0.005314353474834791,999.9946856465247
41.0,1.5400799688378326e-12,0.004574918427699488,999.9954250815719
41.5,1.5390999177840008e-12,0.003938353562427466,999.9960616464372
42.0,1.5382555364374083e-12,0.003389584489381409,999.9966104155102
42.5,1.5375287176559376e-12,0.0029169759309619556,999.9970830240685
43.0,1.536903877940986e-12,0.002510494712153339,999.9974895052874
43.5,1.536366904179613e-12,0.0021610403038557907,999.9978389596956
44.0,1.5359051586399028e-12,0.0018604490534896922,999.998139550946
44.5,1.5355074812283303e-12,0.0016014957099315637,999.9983985042895
45.0,1.5351646963729596e-12,0.0013782321622809548,999.9986217678372
45.5,1.534869700198224e-12,0.0011860536712646418,999.9988139463283
46.0,1.5346161134242113e-12,0.0010208214087294703,999.9989791785907
46.5,1.5343981587148388e-12,0.0008787845814593112,999.9991212154181
47.0,1.534210660677853e-12,0.0007565804311750554,999.9992434195683
47.5,1.534049057432679e-12,0.0006512418668634247,999.9993487581327
48.0,1.5339097378581501e-12,0.00056041953985663,999.9994395804597
48.5,1.5337898568846998e-12,0.0004822624190403391,999.9995177375805
49.0,1.533686822209533e-12,0.0004150833176190723,999.9995849166819
49.5,1.533598278065464e-12,0.00035734854743354485,999.9996426514521
50.0,1.5335221052209164e-12,0.00030767791896066935,999.9996923220806
50.5,1.5334564256893732e-12,0.0002648478267592002,999.9997351521728
51.0,1.533399767423541e-12,0.00022789906073570894,999.9997721009388
51.5,1.5333510028167375e-12,0.00019609688271428685,999.9998039031169
52.0,1.533309098811868e-12,0.00016876805561756483,999.999831231944
52.5,1.5332731082551993e-12,0.0001452952504950354,999.999854704749
53.0,1.5332421698963587e-12,0.00012511704652305397,999.999874882953
53.5,1.5332155083883362e-12,0.00010772793100483644,999.9998922720686
54.0,1.5331924724855968e-12,9.270324761008037e-5,999.999907296752
54.5,1.533172614897643e-12,7.975136440320869e-5,999.9999202486352
55.0,1.5331555427562477e-12,6.861611492152181e-5,999.9999313838847
55.5,1.53314088995324e-12,5.905876980769884e-5,999.9999409412299
56.0,1.5331283173321397e-12,5.085816208405064e-5,999.9999491418375
56.5,1.5331175126881561e-12,4.3810687152519756e-5,999.9999561893125
57.0,1.5331081907681893e-12,3.77303027946806e-5,999.9999622696969
57.5,1.5331001165778375e-12,3.246373854033044e-5,999.9999675362611
58.0,1.533093147161452e-12,2.791776250131606e-5,999.9999720822372
58.5,1.5330871546243016e-12,2.4008962367359696e-5,999.9999759910372
59.0,1.533082017248051e-12,2.0657952332573985e-5,999.9999793420473
59.5,1.5330776195980417e-12,1.7789443113188956e-5,999.9999822105565
60.0,1.533073852523293e-12,1.5332241947552252e-5,999.9999846677576
60.5,1.5330706131564999e-12,1.3219252596128838e-5,999.999986780747
61.0,1.5330678050001184e-12,1.1387531501163835e-5,999.9999886124681
61.5,1.53306536031107e-12,9.7928912667865e-6,999.9999902071083
62.0,1.5330632460247295e-12,8.413766052532224e-6,999.9999915862335
62.5,1.5330614281877383e-12,7.228009638763534e-6,999.9999927719899
63.0,1.533059873285837e-12,6.213761965500618e-6,999.9999937862376
63.5,1.5330585482438636e-12,5.349449132421306e-6,999.9999946505504
64.0,1.5330574204257543e-12,4.6137833988611e-6,999.9999953862161
64.5,1.5330564576345433e-12,3.98576318381312e-6,999.9999960142364
65.0,1.533055628112363e-12,3.4446730659282188e-6,999.9999965553266
65.5,1.533054900666793e-12,2.9701662051090933e-6,999.9999970298334
66.0,1.533054259204382e-12,2.5517449831490734e-6,999.9999974482546
66.5,1.5330537007893817e-12,2.187494720169745e-6,999.9999978125048
67.0,1.533053219347263e-12,1.8734531762313604e-6,999.9999981265463
67.5,1.5330528082859498e-12,1.605320489815843e-6,999.999998394679
68.0,1.5330524604958181e-12,1.3784591778267635e-6,999.9999986215404
68.5,1.533052168349697e-12,1.1878941355893644e-6,999.9999988121054
69.0,1.533051923702868e-12,1.028312636850524e-6,999.9999989716869
69.5,1.5330517178930651e-12,8.940643337787987e-7,999.9999991059352
70.0,1.5330515417404757e-12,7.791612569644382e-7,999.9999992208383
70.5,1.5330513855477389e-12,6.772778154192952e-7,999.9999993227217
71.0,1.533051241083343e-12,5.830445822885563e-7,999.9999994169549
71.5,1.5330511111755296e-12,4.98306472847471e-7,999.9999995016931
72.0,1.53305099676861e-12,4.236794832849861e-7,999.99999957632
72.5,1.5330508977451567e-12,3.5908702949541294e-7,999.9999996409125
73.0,1.5330508136504974e-12,3.0423254254226194e-7,999.999999695767
73.5,1.5330507436927176e-12,2.585994686582346e-7,999.9999997414001
74.0,1.5330506867426588e-12,2.2145126924523855e-7,999.9999997785483
74.5,1.5330506413339187e-12,1.9183142087436088e-7,999.9999998081681
75.0,1.533050605662852e-12,1.685634152859153e-7,999.9999998314361
75.5,1.5330505775885698e-12,1.502507593893595e-7,999.9999998497487
76.0,1.5330505546329394e-12,1.3527697526341096e-7,999.9999998647226
76.5,1.5330505339805847e-12,1.2180560015592884e-7,999.9999998781939
